Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6221062,10801529,HZ571263,12/25/2016 01:00:00 AM,110XX S VERNON AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,513,5.0,9.0,49.0,26,1181201.0,1831971.0,2016,01/05/2017 03:52:33 PM,41.694167876,-87.612194894,"(41.694167876, -87.612194894)"
2891002,9193273,HW337830,06/26/2013 06:00:00 PM,030XX S PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1031,10.0,22.0,30.0,14,1150193.0,1884094.0,2013,02/04/2016 06:33:39 AM,41.837858334,-87.724373228,"(41.837858334, -87.724373228)"
6127896,10659317,HZ409121,08/26/2016 06:30:00 PM,047XX N TROY ST,0810,THEFT,OVER $500,RESIDENCE,False,False,1713,17.0,33.0,14.0,06,1154521.0,1931378.0,2016,09/02/2016 03:51:20 PM,41.967524642,-87.707225345,"(41.967524642, -87.707225345)"
3377800,10099548,HY287806,06/03/2015 07:01:00 PM,026XX N SOUTHPORT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1932,19.0,32.0,7.0,11,1166529.0,1917627.0,2015,08/17/2015 03:03:40 PM,41.929541996,-87.663468394,"(41.929541996, -87.663468394)"
3366264,10079690,HY268175,05/20/2015 03:40:00 PM,133XX S LANGLEY AVE,0460,BATTERY,SIMPLE,CHA PARKING LOT/GROUNDS,True,False,533,5.0,9.0,54.0,08B,1183326.0,1817142.0,2015,08/17/2015 03:03:40 PM,41.653425905,-87.604873764,"(41.653425905, -87.604873764)"
6105280,10616124,HZ368908,07/28/2016 08:43:00 PM,110XX S WENTWORTH AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,513,5.0,34.0,49.0,26,1176901.0,1831918.0,2016,08/04/2016 03:52:47 PM,41.694120148,-87.627939823,"(41.694120148, -87.627939823)"
3508437,10326212,HY516705,11/27/2015 03:35:00 PM,035XX W ARMITAGE AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,1422,14.0,26.0,22.0,06,1152670.0,1913065.0,2015,12/04/2015 03:56:18 PM,41.917309305,-87.714517419,"(41.917309305, -87.714517419)"
3335954,10026953,HY216463,04/10/2015 05:35:00 AM,015XX S KEELER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1012,10.0,24.0,29.0,14,1148638.0,1892091.0,2015,08/17/2015 03:03:40 PM,41.859833239,-87.729873086,"(41.859833239, -87.729873086)"
3342955,10038411,HY228285,04/19/2015 04:44:00 PM,036XX W AUGUSTA BLVD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),RESIDENCE PORCH/HALLWAY,True,False,1112,11.0,27.0,23.0,18,1152089.0,1906426.0,2015,08/17/2015 03:03:40 PM,41.899102755,-87.716827348,"(41.899102755, -87.716827348)"
3023996,9407338,HW550595,11/27/2013 08:19:00 PM,048XX W AUGUSTA BLVD,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,True,False,1531,15.0,37.0,25.0,04A,1143861.0,1906208.0,2013,02/04/2016 06:33:39 AM,41.898662812,-87.747054331,"(41.898662812, -87.747054331)"
2689848,8867699,HV540871,08/30/2012 04:00:00 PM,047XX S DREXEL BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER,False,False,223,2.0,4.0,39.0,26,1183117.0,1873786.0,2012,02/04/2016 06:33:39 AM,41.808868394,-87.603882009,"(41.808868394, -87.603882009)"
3055358,9461572,HX114584,01/14/2014 05:30:00 PM,048XX W JACKSON BLVD,0460,BATTERY,SIMPLE,GAS STATION,False,False,1533,15.0,24.0,25.0,08B,1144394.0,1898243.0,2014,02/04/2016 06:33:39 AM,41.876795906,-87.745297106,"(41.876795906, -87.745297106)"
2574403,8686618,HV362190,07/01/2012 08:00:00 PM,066XX S CALIFORNIA AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),True,False,831,8.0,15.0,66.0,08B,1158857.0,1860407.0,2012,02/04/2016 06:33:39 AM,41.772685171,-87.693228195,"(41.772685171, -87.693228195)"
3285263,9856711,HX505425,11/13/2014 11:25:00 AM,059XX N ELSTON AVE,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),True,False,1622,16.0,45.0,11.0,08A,1135788.0,1939054.0,2014,02/04/2016 06:33:39 AM,41.988943254,-87.775921948,"(41.988943254, -87.775921948)"
3070007,9486792,HX134352,01/30/2014 12:01:00 AM,020XX W ARMITAGE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1432,14.0,32.0,22.0,11,1162398.0,1913292.0,2014,02/04/2016 06:33:39 AM,41.917734031,-87.678770214,"(41.917734031, -87.678770214)"
6126794,10657131,HZ406774,08/25/2016 02:33:00 PM,018XX N SPAULDING AVE,1330,CRIMINAL TRESPASS,TO LAND,SIDEWALK,True,False,1422,14.0,26.0,22.0,26,1153851.0,1912053.0,2016,09/01/2016 03:52:03 PM,41.914508824,-87.7102054,"(41.914508824, -87.7102054)"
2515054,8594850,HV268916,05/03/2012 03:30:00 AM,041XX W JACKSON BLVD,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,ABANDONED BUILDING,False,False,1132,11.0,28.0,26.0,02,1148917.0,1898366.0,2012,02/04/2016 06:33:39 AM,41.877047196,-87.728686703,"(41.877047196, -87.728686703)"
3183493,9684111,HX334797,07/06/2014 04:30:00 AM,047XX S INDIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,224,2.0,3.0,38.0,07,1178398.0,1873627.0,2014,02/04/2016 06:33:39 AM,41.808540691,-87.621194998,"(41.808540691, -87.621194998)"
857168,9949924,HY138812,02/03/2015 09:51:00 PM,038XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,True,False,1011,10.0,24.0,29.0,18,1151182.0,1894442.0,2015,08/17/2015 03:03:40 PM,41.866235211,-87.720473094,"(41.866235211, -87.720473094)"
2447842,8486510,HV163329,02/16/2012 09:00:00 AM,070XX S OAKLEY AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,832,8.0,17.0,66.0,05,1162283.0,1857903.0,2012,02/04/2016 06:33:39 AM,41.765743183,-87.680738983,"(41.765743183, -87.680738983)"
3240363,9778797,HX406324,08/28/2014 06:23:00 PM,0000X S KILBOURN AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1113,11.0,28.0,26.0,18,1146396.0,1899502.0,2014,02/04/2016 06:33:39 AM,41.880212877,-87.73791423,"(41.880212877, -87.73791423)"
2584586,8701510,HV377819,07/11/2012 04:09:00 PM,027XX N KOSTNER AVE,2022,NARCOTICS,POSS: COCAINE,STREET,True,False,2524,25.0,31.0,20.0,18,1146575.0,1917784.0,2012,02/04/2016 06:33:39 AM,41.930377191,-87.736790119,"(41.930377191, -87.736790119)"
4046037,10489534,HZ230217,04/17/2016 10:15:00 PM,043XX W MAYPOLE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1114,11.0,28.0,26.0,14,,,2016,04/24/2016 03:48:05 PM,,,
3492900,10299585,HY488339,11/04/2015 03:50:00 AM,001XX W KINZIE ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,False,False,1831,18.0,42.0,8.0,03,1175251.0,1902995.0,2015,11/11/2015 04:01:17 PM,41.889199661,-87.631857533,"(41.889199661, -87.631857533)"
2557601,8661352,HV336020,06/15/2012 12:50:00 PM,087XX S EXCHANGE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,423,4.0,10.0,46.0,26,1197281.0,1847645.0,2012,02/04/2016 06:33:39 AM,41.736794231,-87.552802609,"(41.736794231, -87.552802609)"
3197032,9707470,HX357291,07/23/2014 04:20:00 PM,016XX S KOMENSKY AVE,0460,BATTERY,SIMPLE,STREET,False,False,1012,10.0,24.0,29.0,08B,1149655.0,1891459.0,2014,02/04/2016 06:33:39 AM,41.858079279,-87.726156337,"(41.858079279, -87.726156337)"
6172889,10725817,HZ484776,10/22/2016 03:30:00 AM,032XX W DIVERSEY AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,False,False,1412,14.0,35.0,21.0,04B,1154037.0,1918432.0,2016,10/29/2016 03:47:05 PM,41.932009614,-87.709351528,"(41.932009614, -87.709351528)"
2856844,9138047,HW283503,05/20/2013 06:57:00 PM,091XX S THROOP ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,True,False,2222,22.0,21.0,73.0,18,1169269.0,1844076.0,2013,02/04/2016 06:33:39 AM,41.727651697,-87.655532149,"(41.727651697, -87.655532149)"
2655515,8814016,HV487409,09/22/2012 07:10:00 PM,002XX N CLARK ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,False,False,122,1.0,42.0,32.0,06,1175500.0,1901787.0,2012,02/04/2016 06:33:39 AM,41.885879253,-87.630979425,"(41.885879253, -87.630979425)"
4085803,10217248,HY402956,08/30/2015 04:45:00 AM,022XX N ASHLAND AVE,0460,BATTERY,SIMPLE,STREET,False,False,1432,14.0,32.0,22.0,08B,1165153.0,1914764.0,2015,04/15/2016 03:49:27 PM,41.921715143,-87.668606344,"(41.921715143, -87.668606344)"
3120166,9578113,HX228180,02/28/2014 10:00:00 AM,072XX S DAMEN AVE,0890,THEFT,FROM BUILDING,VACANT LOT/LAND,False,False,735,7.0,17.0,67.0,06,1164279.0,1856564.0,2014,02/04/2016 06:33:39 AM,41.762026992,-87.673460599,"(41.762026992, -87.673460599)"
2798579,9045920,HW191133,03/13/2013 08:50:00 PM,049XX W AUGUSTA BLVD,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1531,15.0,37.0,25.0,08A,1143167.0,1906196.0,2013,02/04/2016 06:33:39 AM,41.898642868,-87.749603686,"(41.898642868, -87.749603686)"
2835128,9104801,HW249173,04/26/2013 04:00:00 PM,022XX E 70TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,331,3.0,5.0,43.0,14,1192246.0,1858984.0,2013,02/04/2016 06:33:39 AM,41.768033222,-87.57088076,"(41.768033222, -87.57088076)"
3506326,10322915,HY512695,11/23/2015 06:00:00 PM,049XX W MONROE ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,SIDEWALK,True,False,1533,15.0,28.0,25.0,18,1143587.0,1899210.0,2015,11/30/2015 03:56:29 PM,41.879464607,-87.748235993,"(41.879464607, -87.748235993)"
3123372,9583299,HX232858,04/22/2014 11:45:00 AM,074XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,324,3.0,5.0,43.0,14,1188101.0,1856009.0,2014,02/04/2016 06:33:39 AM,41.759969386,-87.586168582,"(41.759969386, -87.586168582)"
4079139,10476331,HZ215407,04/02/2016 12:53:00 PM,039XX W ROOSEVELT RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,False,False,1132,11.0,24.0,29.0,11,,,2016,04/09/2016 03:47:49 PM,,,
2882019,9178710,HW323467,06/17/2013 07:20:00 PM,100XX W OHARE ST,0880,THEFT,PURSE-SNATCHING,AIRPORT EXTERIOR - NON-SECURE AREA,False,False,1651,16.0,41.0,76.0,06,1100658.0,1934241.0,2013,02/04/2016 06:33:39 AM,41.976290414,-87.905227221,"(41.976290414, -87.905227221)"
3358589,10065992,HY254787,05/10/2015 04:00:00 PM,052XX N LINCOLN AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GROCERY FOOD STORE,False,False,2011,20.0,40.0,4.0,10,1158514.0,1934867.0,2015,08/17/2015 03:03:40 PM,41.977017622,-87.692447486,"(41.977017622, -87.692447486)"
6140815,10677267,HZ430068,09/11/2016 08:00:00 PM,048XX W WALTON ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,STREET,False,False,1531,15.0,37.0,25.0,03,1143953.0,1905871.0,2016,09/18/2016 03:49:46 PM,41.89773632,-87.746724879,"(41.89773632, -87.746724879)"
2787824,9026355,HW173420,02/22/2013 01:30:00 PM,013XX S CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,OTHER,False,False,1011,10.0,24.0,29.0,06,1152589.0,1893426.0,2013,02/04/2016 06:33:39 AM,41.863419512,-87.71533469,"(41.863419512, -87.71533469)"
3442895,10214596,HY400586,08/28/2015 11:00:00 AM,057XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,712,7.0,16.0,68.0,08B,1169962.0,1866746.0,2015,09/10/2015 11:43:14 AM,41.789846121,-87.652336186,"(41.789846121, -87.652336186)"
3274821,9838063,HX487466,10/29/2014 10:50:00 PM,012XX N CLARK ST,0460,BATTERY,SIMPLE,CTA STATION,False,False,1821,18.0,42.0,8.0,08B,1175314.0,1908524.0,2014,02/04/2016 06:33:39 AM,41.904370109,-87.631460067,"(41.904370109, -87.631460067)"
2723635,8922306,HV591276,12/06/2012 09:45:00 AM,011XX N WESTERN AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,1312,12.0,1.0,24.0,08B,1160197.0,1907701.0,2012,02/04/2016 06:33:39 AM,41.902437713,-87.687011559,"(41.902437713, -87.687011559)"
3014499,9391734,HW535001,11/15/2013 06:10:00 AM,007XX N KINGSBURY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1831,18.0,42.0,8.0,07,1172600.0,1905541.0,2013,02/04/2016 06:33:39 AM,41.896245093,-87.641517595,"(41.896245093, -87.641517595)"
2473504,8526479,HV204234,03/16/2012 09:00:00 AM,008XX S OAKLEY BLVD,0810,THEFT,OVER $500,STREET,False,False,1224,12.0,25.0,28.0,06,1161182.0,1896281.0,2012,02/04/2016 06:33:39 AM,41.871079832,-87.683711049,"(41.871079832, -87.683711049)"
2510513,8587371,HV261659,04/28/2012 03:35:00 AM,007XX E 111TH ST,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,POLICE FACILITY/VEH PARKING LOT,True,False,531,5.0,9.0,50.0,24,1183356.0,1831503.0,2012,02/04/2016 06:33:39 AM,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
6063758,10560495,HZ307587,04/14/2016 12:29:00 AM,021XX E 69TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,331,3.0,5.0,43.0,26,,,2016,06/15/2016 03:55:08 PM,,,
3511462,10331339,HY521801,12/02/2015 02:00:00 AM,036XX S RHODES AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,212,2.0,4.0,35.0,14,1180179.0,1881011.0,2015,01/16/2016 03:58:32 PM,41.828762287,-87.614436164,"(41.828762287, -87.614436164)"
121153,10509887,HZ251459,05/04/2016 05:15:00 PM,012XX N CLYBOURN AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1821,18.0,27.0,8.0,06,1172828.0,1908553.0,2016,05/11/2016 03:50:55 PM,41.904505139,-87.640590874,"(41.904505139, -87.640590874)"
2675267,8845076,HV518550,10/14/2012 08:05:00 PM,116XX S VINCENNES AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,2212,22.0,34.0,75.0,06,1165800.0,1827769.0,2012,02/04/2016 06:33:39 AM,41.682976863,-87.668700729,"(41.682976863, -87.668700729)"
3334397,10024175,HY213825,04/07/2015 01:00:00 PM,054XX W QUINCY ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,1522,15.0,29.0,25.0,26,1140319.0,1898472.0,2015,08/17/2015 03:03:40 PM,41.87749995,-87.760253841,"(41.87749995, -87.760253841)"
331718,10511746,HZ253045,05/05/2016 08:25:00 PM,066XX S EVANS AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,False,True,321,3.0,20.0,42.0,02,1182359.0,1861195.0,2016,05/12/2016 03:50:15 PM,41.774335213,-87.6070523,"(41.774335213, -87.6070523)"
3038983,9432453,HW575434,12/18/2013 01:25:00 PM,030XX N BROADWAY,0860,THEFT,RETAIL THEFT,DRUG STORE,False,False,1934,19.0,44.0,6.0,06,1171724.0,1920381.0,2013,02/04/2016 06:33:39 AM,41.936986127,-87.644297045,"(41.936986127, -87.644297045)"
2658153,8818144,HV491206,09/25/2012 01:30:00 PM,077XX S CENTRAL PARK AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,835,8.0,18.0,70.0,03,1153800.0,1852888.0,2012,02/04/2016 06:33:39 AM,41.752153618,-87.71196507,"(41.752153618, -87.71196507)"
3435178,10200170,HY387756,08/18/2015 08:29:00 AM,001XX S LOTUS AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,1522,15.0,29.0,25.0,26,1139900.0,1899022.0,2015,08/31/2015 03:43:09 PM,41.879016888,-87.761778871,"(41.879016888, -87.761778871)"
3313983,9905802,HX556428,12/27/2014 01:30:00 AM,033XX N HALSTED ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1924,19.0,44.0,6.0,06,1170335.0,1922325.0,2014,02/04/2016 06:33:39 AM,41.942351064,-87.649344776,"(41.942351064, -87.649344776)"
6192383,10755639,HZ518276,11/16/2016 10:12:00 PM,063XX S ARTESIAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,825,8.0,15.0,66.0,18,1161126.0,1862647.0,2016,11/23/2016 03:49:18 PM,41.778785401,-87.684848686,"(41.778785401, -87.684848686)"
3166555,9656123,HX306510,06/16/2014 07:00:00 PM,013XX S FARRAR DR,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1022,10.0,24.0,29.0,06,1157681.0,1893647.0,2014,02/04/2016 06:33:39 AM,41.863923854,-87.696636247,"(41.863923854, -87.696636247)"
3265894,9822808,HX472635,10/17/2014 06:10:00 PM,022XX W DEVON AVE,0810,THEFT,OVER $500,OTHER,False,False,2412,24.0,50.0,2.0,06,1160337.0,1942456.0,2014,02/04/2016 06:33:39 AM,41.99780451,-87.685532409,"(41.99780451, -87.685532409)"
2553680,8654423,HV328721,06/11/2012 05:42:00 AM,003XX E 55TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,231,2.0,20.0,40.0,14,1179351.0,1868294.0,2012,02/04/2016 06:33:39 AM,41.79388474,-87.617862454,"(41.79388474, -87.617862454)"
4047327,10427424,HZ165145,02/25/2016 06:00:00 PM,018XX S DEARBORN ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,131,1.0,3.0,33.0,06,1176206.0,1891355.0,2016,03/03/2016 03:47:16 PM,41.857237313,-87.628701343,"(41.857237313, -87.628701343)"
2967231,9314771,HW458755,09/19/2013 03:45:00 AM,008XX W CORNELIA AVE,0880,THEFT,PURSE-SNATCHING,SIDEWALK,False,False,1924,19.0,44.0,6.0,06,1169739.0,1923447.0,2013,02/04/2016 06:33:39 AM,41.945442907,-87.651502527,"(41.945442907, -87.651502527)"
811025,10543644,HZ289132,05/26/2016 09:00:00 PM,013XX N CAMPBELL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1423,14.0,26.0,24.0,26,1159496.0,1908832.0,2016,06/06/2016 03:48:33 PM,41.905555732,-87.68955527,"(41.905555732, -87.68955527)"
4066034,10448195,HZ187106,03/14/2016 01:45:00 PM,067XX S PERRY AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,722,7.0,6.0,69.0,05,1176558.0,1860286.0,2016,03/25/2016 03:46:20 PM,41.771973284,-87.628344899,"(41.771973284, -87.628344899)"
3112496,9563737,HX215199,04/07/2014 10:30:00 PM,010XX W 18TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1235,12.0,25.0,31.0,07,1169607.0,1891581.0,2014,02/04/2016 06:33:39 AM,41.85800353,-87.652916697,"(41.85800353, -87.652916697)"
6169270,10719673,HZ478450,10/17/2016 01:45:00 AM,016XX N CICERO AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,2533,25.0,37.0,25.0,04B,1144089.0,1910289.0,2016,10/24/2016 04:01:11 PM,41.909857246,-87.746114281,"(41.909857246, -87.746114281)"
2657516,8816904,HV490496,09/25/2012 12:36:00 AM,0000X W ILLINOIS ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,False,False,1831,18.0,42.0,8.0,08B,1175996.0,1903601.0,2012,02/04/2016 06:33:39 AM,41.890845813,-87.629103359,"(41.890845813, -87.629103359)"
799015,10507619,HZ248887,05/02/2016 06:15:00 PM,012XX N CLARK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1821,18.0,42.0,8.0,08B,1175314.0,1908524.0,2016,05/23/2016 03:48:54 PM,41.904370109,-87.631460067,"(41.904370109, -87.631460067)"
3379191,10101735,HY290221,06/05/2015 08:00:00 PM,006XX N LARAMIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1524,15.0,28.0,25.0,07,1141582.0,1903712.0,2015,08/17/2015 03:03:40 PM,41.891855923,-87.755486825,"(41.891855923, -87.755486825)"
3021310,9402683,HW544803,11/23/2013 03:39:00 AM,012XX N ARTESIAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1423,14.0,26.0,24.0,14,1159847.0,1908248.0,2013,02/04/2016 06:33:39 AM,41.903945954,-87.688282058,"(41.903945954, -87.688282058)"
2757059,8976204,HW123493,01/19/2013 11:45:00 AM,088XX S COTTAGE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,632,6.0,8.0,44.0,08B,1183114.0,1846334.0,2013,02/04/2016 06:33:39 AM,41.733537555,-87.604745981,"(41.733537555, -87.604745981)"
3326870,10011706,HY200999,03/27/2015 10:10:00 PM,018XX N KEELER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2534,25.0,30.0,20.0,14,1148100.0,1911822.0,2015,08/17/2015 03:03:40 PM,41.913987651,-87.731339855,"(41.913987651, -87.731339855)"
2618969,8755798,HV430921,08/15/2012 12:05:00 AM,009XX W BELMONT AVE,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,True,False,1933,19.0,44.0,6.0,03,1169269.0,1921430.0,2012,02/04/2016 06:33:39 AM,41.93991842,-87.653288878,"(41.93991842, -87.653288878)"
3231838,9764539,HX414382,09/03/2014 07:10:00 PM,057XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,232,2.0,20.0,40.0,08B,1179901.0,1867144.0,2014,02/04/2016 06:33:39 AM,41.790716455,-87.615880848,"(41.790716455, -87.615880848)"
3086200,9514934,HX170338,03/03/2014 12:25:00 AM,073XX S SOUTH SHORE DR,0560,ASSAULT,SIMPLE,APARTMENT,False,False,334,3.0,7.0,43.0,08A,1195265.0,1857288.0,2014,02/04/2016 06:33:39 AM,41.763305308,-87.559870854,"(41.763305308, -87.559870854)"
6071964,10566077,HZ313607,06/18/2016 10:35:00 PM,024XX N LECLAIRE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2521,25.0,31.0,19.0,08B,1141977.0,1915955.0,2016,06/25/2016 03:51:43 PM,41.925444772,-87.753732322,"(41.925444772, -87.753732322)"
2581416,8696503,HV373075,07/08/2012 04:00:00 PM,016XX N LAKE SHORE DR,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,PARK PROPERTY,True,False,1814,18.0,43.0,7.0,11,1176670.0,1911085.0,2012,02/04/2016 06:33:39 AM,41.911367051,-87.626401638,"(41.911367051, -87.626401638)"
2886173,9185381,HW330224,06/22/2013 11:55:00 AM,003XX W MONROE ST,1900,OTHER NARCOTIC VIOLATION,INTOXICATING COMPOUNDS,SIDEWALK,True,False,122,1.0,2.0,32.0,18,1173925.0,1899859.0,2013,02/04/2016 06:33:39 AM,41.880623931,-87.636820565,"(41.880623931, -87.636820565)"
2601094,8727393,HV402928,07/27/2012 03:00:00 PM,043XX N BELL AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,1911,19.0,47.0,5.0,05,1160584.0,1928754.0,2012,02/04/2016 06:33:39 AM,41.960200512,-87.685005286,"(41.960200512, -87.685005286)"
6228135,10808794,JA107940,01/08/2017 02:30:00 AM,103XX S TORRENCE AVE,0560,ASSAULT,SIMPLE,GAS STATION,False,False,434,4.0,10.0,51.0,08A,,,2017,01/15/2017 03:52:12 PM,,,
810436,10531119,HZ274112,05/21/2016 07:45:00 PM,009XX N CAMBRIDGE AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,STREET,False,False,1823,18.0,27.0,8.0,08A,1172508.0,1906399.0,2016,06/06/2016 03:48:33 PM,41.898601529,-87.641830091,"(41.898601529, -87.641830091)"
2828605,9094210,HW238537,05/01/2012 12:01:00 AM,028XX E 76TH PL,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,False,421,4.0,7.0,43.0,02,1196191.0,1854953.0,2012,02/04/2016 06:33:39 AM,41.756875004,-87.556554237,"(41.756875004, -87.556554237)"
2881748,9178394,HW323307,06/17/2013 05:30:00 PM,044XX W JACKSON BLVD,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,True,True,1113,11.0,28.0,26.0,04B,1146929.0,1898320.0,2013,02/04/2016 06:33:39 AM,41.876959166,-87.735987301,"(41.876959166, -87.735987301)"
2535980,8628616,HV301951,05/24/2012 08:20:00 PM,012XX N LONG AVE,0460,BATTERY,SIMPLE,STREET,False,False,2532,25.0,37.0,25.0,08B,1140060.0,1907549.0,2012,02/04/2016 06:33:39 AM,41.902413104,-87.760982525,"(41.902413104, -87.760982525)"
2998197,9365302,HW508477,10/26/2013 12:55:00 PM,029XX N SOUTHPORT AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1932,19.0,32.0,6.0,06,1166470.0,1919442.0,2013,02/04/2016 06:33:39 AM,41.934523717,-87.663633104,"(41.934523717, -87.663633104)"
6229168,10810390,JA109787,01/09/2017 06:42:00 PM,038XX W ROOSEVELT RD,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,SIDEWALK,True,False,1011,10.0,24.0,29.0,26,,,2017,01/16/2017 03:50:41 PM,,,
3431508,10193990,HY381143,08/13/2015 05:48:00 PM,035XX S RHODES AVE,0460,BATTERY,SIMPLE,OTHER,True,False,212,2.0,4.0,35.0,08B,1180172.0,1881335.0,2015,08/20/2015 04:17:37 PM,41.829651528,-87.614451899,"(41.829651528, -87.614451899)"
3357526,10064701,HY253245,05/09/2015 10:30:00 AM,064XX W DEVON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,1611,16.0,41.0,10.0,08B,1132576.0,1942098.0,2015,08/17/2015 03:03:40 PM,41.997353013,-87.787664975,"(41.997353013, -87.787664975)"
